old_cluster_id,uuid,new_cluster_id
3222888,15549-B-7811914-20080912,3361092
3228649,18414-B-11757889-20090717,3366231
3235102,19864-B-12708819-20080304,3373012
3276850,9913-B-5354292-20080326,3416280
3289140,5678-B-3050554-20091001,3428536
3289229,16770-B-4791391-20090921,3428607
3369278,8843-B-6559298-20081230,3510038
3421086,17450-B-10376410-20080827,3562631
3391254,13527-B-10407052-20090410,3583735
3450200,4296-B-7698336-20081218,3593590
3455207,4753-B-374903-20090908,3598982
3721726,2972-B-12871163-20090310,3874855
2919557,19515-B-12618100-20090729,3049183
2973634,3329-B-3889369-20111103,3103944
2978975,5678-B-3051882-20110614,3109882
3007255,19296-B-431138-20100412,3139070
3033251,432-B-10337337-20110525,3164017
3034117,5678-B-3050276-20101022,3164895
3050622,5678-B-3050016-20100723,3187071
3130647,8911-B-1022185-20111122,3265322
3174413,21773-B-13389720-20110617,3310469
3238827,5794-B-688994-20100715,3377128
3276848,6685-B-7722993-20101005,3416278
3314448,9438-B-7865271-20100930,3452618
3429219,21251-B-10227081-20100603,3571069
3472233,22576-B-7795938-20100927,3616702
3531060,11389-B-998704-20101029,3677630
3667520,19289-B-2440763-20101108,3818008
3741374,7556-B-12190428-20110907,3894411
3007024,5678-B-3054094-20130618,3138817
3055290,7070-B-12045890-20131024,3187569
3125949,22576-B-7797205-20120216,3260172
3158173,5678-B-3054741-20130621,3293826
3184670,2480-B-83400-20120419,3321381
3228617,3387-B-8766505-20120831,3366184
3369158,7737-B-8532150-20120910,3509915
3389202,535-B-1445504-20121211,3532104
3430925,12103-B-11524322-20120401,3572921
3475333,549-B-2453344-20120606,3618353
3505486,5794-B-689240-20131001,3651873
3550790,20737-B-13682533-20130511,3700134
3653737,11607-B-3258793-20120924,3804577
2979080,1527-B-4887068-20140929,3109989
3003804,12848-B-11553207-20150312,3135450
3048339,20301-B-1818026-20150501,3180294
3090224,19535-B-6524217-20140522,3223768
3270685,5529-B-6818138-20151210,3409561
3492934,14134-B-8504393-20140303,3638292
3569612,21397-B-13493711-20150716,3716545
3328391,1527-B-4887901-20160524,3469324
3099506,7000-B-10002673-20190904,3233411
3191588,18399-B-10972061-20181207,3329030
3400517,11607-B-3259526-20181226,3540953
3472226,7412-B-12059196-20181002,3616695
3533981,10648-B-4842908-20180215,3680732
3640373,19535-B-6525054-20190123,3789868
3148949,10237-B-5405053-20201008,3283803
3020904,21680-C-3691459-19990505,3153274
3239206,6721-C-3056573-19991217,3377531
3673028,21352-C-210765-19990701,3823889
2927243,5370-C-2911823-20000509,3057065
3068868,4032-C-3713456-20000901,3201920
3087578,13561-C-3675638-20001128,3221496
3450052,19805-C-3590872-20000726,3593433
3476180,18193-C-4764254-20000531,3618793
3495769,160-D-2409496-20000804,3642122
3573397,18193-C-4765028-20000821,3720703
3612660,12362-C-3370370-20000601,3761221
3668441,15340-C-2674879-20000314,3818968
3013459,18148-C-2868264-20021015,3145552
3048553,18148-C-2900109-20030228,3180529
3073227,17488-C-3929279-20030108,3206440
3229189,14577-C-2956341-20020408,3366796
3384695,18544-C-193814-20030403,3527229
3471120,6811-C-5393586-20030601,3615572
3476181,22031-C-3960342-20021031,3618794
3735687,18467-D-2822910-20030626,3888534
3615846,19923-C-2666436-20041022,3764526
1009247,21914-D-3012112-20050824,1053033
2970998,21680-E-3685823-20071123,3100946
3267680,160-D-2415777-20060731,3406390
3476190,3663-C-11027670-20071101,3618803
3505769,18734-C-10960653-20060703,3652171
3518476,5474-D-231534-20060913,3664388
3615830,4714-C-2538845-20060320,3764515
3646359,20221-C-5606386-20060623,3796871
3431100,5678-C-3048997-20080506,3573102
3450053,8466-E-8026962-20081121,3593434
3554804,21680-E-3686263-20080926,3702656
3634005,18082-D-2996248-20090722,3783870
2453242,19176-C-10324081-20080417,2561902
2961638,10292-C-2435843-20110630,3090970
3229622,5678-C-3050330-20101022,3367372
3476175,9832-C-12443928-20110801,3618784
3505711,10648-D-4839393-20110811,3652113
3571040,15045-C-173759-20100601,3718078
3639762,15643-C-13141993-20101007,3789484
3012526,21273-C-11104057-20121109,3144564
3256294,7945-D-8720763-20120707,3394461
3467172,5678-C-3052608-20120928,3611400
3526349,3625-C-8180943-20121026,3672590
3142581,4753-C-375792-20140814,3278402
3249094,6836-C-4784562-20140321,3387317
3476182,7485-C-4927722-20140813,3618795
3505931,7631-C-9163077-20150518,3652287
3567771,5678-C-3055496-20140228,3714640
2918386,2480-C-86750-20140710,3048018
3029685,18651-C-6979002-20160608,3162540
3140141,22148-C-6953956-20171110,3275797
3145162,1527-C-4887909-20160527,3279957
3161570,19374-C-6943000-20170808,3298862
3228337,35040-C-9700531-20171015,3365929
3297025,14638-C-8418938-20170525,3436802
3365285,11254-C-11980660-20170623,3506757
3478858,9438-C-7905647-20171227,3623730
3505933,6779-C-10184607-20161220,3652289
3552578,5816-C-1617971-20170630,3700146
3129163,1166-C-10543823-20190422,3263684
3505471,11000-C-5511269-20180125,3651872
3505913,160-C-2430809-20191025,3652263
3505930,160-C-2428538-20180814,3652286
3505932,14669-C-1728950-20180817,3652288
907835,14096-D-9949663-20191103,948188
3493632,16930-C-6223422Cont-20210330,3639269
